iter	Passed	Remaining
1164	6413	4597
1165	6418	4591
1166	6423	4585
1167	6429	4579
1168	6434	4573
1169	6438	4567
1170	6444	4562
1171	6449	4556
1172	6454	4550
1173	6460	4545
1174	6466	4540
1175	6471	4534
1176	6477	4529
1177	6483	4523
1178	6487	4517
1179	6493	4512
1180	6498	4506
1181	6503	4500
1182	6508	4495
1183	6513	4489
1184	6518	4483
1185	6524	4477
1186	6529	4472
1187	6534	4466
1188	6539	4460
1189	6545	4455
1190	6551	4449
1191	6556	4444
1192	6561	4438
1193	6566	4432
1194	6571	4427
1195	6577	4421
1196	6582	4415
1197	6586	4409
1198	6591	4403
1199	6597	4398
1200	6601	4392
1201	6606	4386
1202	6611	4380
1203	6616	4374
1204	6622	4369
1205	6627	4363
1206	6633	4358
1207	6638	4352
1208	6644	4347
1209	6649	4341
1210	6654	4335
1211	6661	4330
1212	6666	4325
1213	6671	4319
1214	6677	4314
1215	6683	4309
1216	6689	4304
1217	6694	4298
1218	6699	4292
1219	6705	4286
1220	6710	4281
1221	6715	4275
1222	6721	4270
1223	6727	4265
1224	6732	4259
1225	6737	4253
1226	6742	4247
1227	6747	4242
1228	6752	4236
1229	6758	4230
1230	6763	4224
1231	6768	4219
1232	6774	4214
1233	6779	4208
1234	6784	4202
1235	6790	4197
1236	6795	4191
1237	6800	4185
1238	6805	4180
1239	6811	4174
1240	6815	4168
1241	6821	4162
1242	6826	4157
1243	6831	4151
1244	6837	4146
1245	6841	4140
1246	6847	4134
1247	6852	4129
1248	6857	4123
1249	6863	4118
1250	6869	4112
1251	6875	4107
1252	6881	4102
1253	6886	4096
1254	6891	4091
1255	6896	4085
1256	6902	4079
1257	6907	4074
1258	6913	4068
1259	6918	4063
1260	6923	4057
1261	6928	4051
1262	6934	4046
1263	6939	4040
1264	6944	4034
1265	6949	4029
1266	6954	4023
1267	6960	4017
1268	6965	4012
1269	6970	4006
1270	6975	4001
1271	6981	3995
1272	6986	3989
1273	6991	3984
1274	6996	3978
1275	7001	3972
1276	7006	3966
1277	7011	3961
1278	7016	3955
1279	7021	3949
1280	7027	3944
1281	7032	3938
1282	7037	3933
1283	7043	3927
1284	7048	3922
1285	7054	3916
1286	7059	3911
1287	7065	3905
1288	7072	3900
1289	7077	3895
1290	7082	3889
1291	7087	3883
1292	7092	3878
1293	7097	3872
1294	7103	3866
1295	7108	3861
1296	7113	3855
1297	7118	3850
1298	7123	3844
1299	7129	3838
1300	7134	3833
1301	7139	3827
1302	7145	3822
1303	7150	3816
1304	7155	3810
1305	7161	3805
1306	7166	3800
1307	7171	3794
1308	7177	3788
1309	7182	3783
1310	7187	3777
1311	7192	3771
1312	7197	3766
1313	7202	3760
1314	7207	3754
1315	7213	3749
1316	7218	3743
1317	7223	3737
1318	7229	3732
1319	7233	3726
1320	7239	3720
1321	7244	3715
1322	7249	3709
1323	7254	3703
1324	7259	3698
1325	7265	3693
1326	7271	3687
1327	7277	3682
1328	7283	3677
1329	7288	3671
1330	7293	3666
1331	7298	3660
1332	7303	3654
1333	7308	3648
1334	7313	3643
1335	7318	3637
1336	7323	3631
1337	7328	3626
1338	7334	3620
1339	7339	3614
1340	7344	3609
1341	7349	3603
1342	7355	3598
1343	7360	3592
1344	7365	3586
1345	7371	3581
1346	7375	3575
1347	7381	3570
1348	7387	3564
1349	7392	3559
1350	7397	3553
1351	7403	3548
1352	7409	3543
1353	7414	3537
1354	7420	3532
1355	7425	3526
1356	7430	3520
1357	7436	3515
1358	7441	3509
1359	7446	3504
1360	7451	3498
1361	7456	3492
1362	7461	3487
1363	7467	3481
1364	7473	3476
1365	7478	3470
1366	7483	3465
1367	7489	3460
1368	7494	3454
1369	7499	3448
1370	7504	3443
1371	7509	3437
1372	7515	3431
1373	7521	3426
1374	7526	3421
1375	7530	3415
1376	7536	3409
1377	7541	3403
1378	7546	3398
1379	7552	3392
1380	7557	3387
1381	7562	3381
1382	7568	3376
1383	7574	3371
1384	7579	3365
1385	7585	3360
1386	7590	3354
1387	7594	3348
1388	7600	3343
1389	7605	3337
1390	7610	3332
1391	7615	3326
1392	7621	3320
1393	7626	3315
1394	7631	3309
1395	7636	3304
1396	7642	3298
1397	7647	3293
1398	7652	3287
1399	7657	3281
1400	7663	3276
1401	7669	3271
1402	7674	3265
1403	7680	3260
1404	7686	3255
1405	7691	3249
1406	7696	3243
1407	7701	3238
1408	7706	3232
1409	7711	3226
1410	7717	3221
1411	7722	3215
1412	7727	3210
1413	7732	3204
1414	7737	3198
1415	7742	3193
1416	7747	3187
1417	7752	3182
1418	7757	3176
1419	7763	3170
1420	7768	3165
1421	7774	3159
1422	7779	3154
1423	7784	3148
1424	7789	3143
1425	7794	3137
1426	7799	3131
1427	7804	3126
1428	7810	3120
1429	7815	3115
1430	7820	3109
1431	7826	3104
1432	7832	3098
1433	7837	3093
1434	7841	3087
1435	7847	3082
1436	7852	3076
1437	7857	3070
1438	7864	3065
1439	7870	3060
1440	7875	3055
1441	7882	3050
1442	7887	3044
1443	7893	3039
1444	7898	3033
1445	7903	3028
1446	7909	3022
1447	7914	3017
1448	7919	3011
1449	7924	3005
1450	7929	3000
1451	7934	2994
1452	7939	2989
1453	7945	2983
1454	7950	2978
1455	7955	2972
1456	7961	2967
1457	7966	2961
1458	7971	2955
1459	7976	2950
1460	7982	2944
1461	7986	2939
1462	7992	2933
1463	7997	2928
1464	8002	2922
1465	8007	2916
1466	8013	2911
1467	8018	2905
1468	8023	2900
1469	8028	2894
1470	8033	2888
1471	8038	2883
1472	8043	2877
1473	8048	2872
1474	8053	2866
1475	8059	2861
1476	8065	2855
1477	8070	2850
1478	8076	2845
1479	8082	2839
1480	8087	2834
1481	8093	2828
1482	8097	2823
1483	8102	2817
1484	8108	2812
1485	8113	2806
1486	8118	2800
1487	8124	2795
1488	8129	2789
1489	8134	2784
1490	8140	2778
1491	8144	2773
1492	8149	2767
1493	8155	2762
1494	8159	2756
1495	8164	2750
1496	8170	2745
1497	8175	2739
1498	8180	2734
1499	8185	2728
1500	8190	2722
1501	8195	2717
1502	8200	2711
1503	8206	2706
1504	8211	2700
1505	8216	2695
1506	8222	2689
1507	8227	2684
1508	8232	2678
1509	8237	2673
1510	8243	2667
1511	8248	2662
1512	8253	2656
1513	8258	2651
1514	8265	2646
1515	8273	2641
1516	8283	2637
1517	8289	2632
1518	8295	2626
1519	8301	2621
1520	8306	2616
1521	8311	2610
1522	8317	2604
1523	8323	2599
1524	8327	2593
1525	8332	2588
1526	8338	2582
1527	8343	2577
1528	8347	2571
1529	8353	2566
1530	8358	2560
1531	8363	2554
1532	8369	2549
1533	8375	2544
1534	8380	2538
1535	8386	2533
1536	8391	2527
1537	8397	2522
1538	8402	2516
1539	8408	2511
1540	8412	2505
1541	8418	2500
1542	8424	2495
1543	8430	2489
1544	8435	2484
1545	8440	2478
1546	8445	2473
1547	8451	2467
1548	8456	2462
1549	8462	2456
1550	8467	2451
1551	8473	2446
1552	8479	2440
1553	8485	2435
1554	8490	2429
1555	8496	2424
1556	8501	2418
1557	8507	2413
1558	8512	2408
1559	8518	2402
1560	8524	2397
1561	8529	2391
1562	8535	2386
1563	8541	2380
1564	8546	2375
1565	8552	2370
1566	8557	2364
1567	8562	2358
1568	8568	2353
1569	8573	2348
1570	8578	2342
1571	8584	2337
1572	8589	2331
1573	8594	2326
1574	8600	2320
1575	8605	2315
1576	8610	2309
1577	8616	2304
1578	8621	2298
1579	8625	2292
1580	8631	2287
1581	8636	2282
1582	8641	2276
1583	8647	2270
1584	8652	2265
1585	8657	2259
1586	8662	2254
1587	8667	2248
1588	8673	2243
1589	8680	2238
1590	8685	2232
1591	8691	2227
1592	8697	2222
1593	8702	2216
1594	8708	2211
1595	8714	2205
1596	8719	2200
1597	8724	2194
1598	8730	2189
1599	8735	2183
1600	8740	2178
1601	8745	2172
1602	8750	2167
1603	8755	2161
1604	8760	2156
1605	8766	2150
1606	8772	2145
1607	8777	2139
1608	8782	2134
1609	8788	2128
1610	8794	2123
1611	8811	2120
1612	8819	2115
1613	8829	2111
1614	8836	2106
1615	8842	2101
1616	8848	2095
1617	8853	2090
1618	8859	2084
1619	8865	2079
1620	8871	2074
1621	8877	2068
1622	8884	2063
1623	8890	2058
1624	8897	2053
1625	8903	2047
1626	8909	2042
1627	8915	2037
1628	8921	2031
1629	8927	2026
1630	8933	2021
1631	8939	2015
1632	8944	2010
1633	8950	2004
1634	8956	1999
1635	8961	1993
1636	8967	1988
1637	8972	1982
1638	8977	1977
1639	8983	1972
1640	8988	1966
1641	8994	1960
1642	8999	1955
1643	9005	1950
1644	9010	1944
1645	9015	1938
1646	9020	1933
1647	9026	1927
1648	9031	1922
1649	9037	1917
1650	9043	1911
1651	9048	1906
1652	9053	1900
1653	9058	1894
1654	9063	1889
1655	9068	1883
1656	9074	1878
1657	9079	1872
1658	9085	1867
1659	9092	1862
1660	9098	1856
1661	9103	1851
1662	9109	1845
1663	9115	1840
1664	9121	1835
1665	9127	1829
1666	9133	1824
1667	9139	1819
1668	9144	1813
1669	9150	1808
1670	9155	1802
1671	9160	1797
1672	9166	1791
1673	9171	1786
1674	9177	1780
1675	9183	1775
1676	9188	1769
1677	9193	1764
1678	9199	1758
